response,parentId,round,id,votes
"Faire des graphiques sur le temps moyen des parties,Intégrer un chronomètre a l'application pour pouvoir populer tout ça",12d71304-7e6e-48d3-959b-03f4e14388a6,2,0,2
"Voir des statistiques sur les parties jouées,avec par exemple le type d'alcool consommé durant la partie,Genre faire des catégories ""jeux de plateau"", ""jeux à boire"" etc...",384a9199-7f8b-44e5-825b-8fee762be6d4,2,1,2
"Statitistique pour les différents profils genre avec des diagrammes sympathiques,Faire des millions de graphoiques,Tous les graphiques",69bd39d1-b58f-4fa9-8497-016f76a745f7,1,2,2
"Ajouter des jeux existants de BGG, ajouter nos propre jeux, ajouter des participants à la page, pour donner leurs scores sur les jeux et avoir des statistiques,genre ajouter le beer pong,Ou encore le beerpong, mais avec les couleurs de gruvbox
",e9522ffe-660d-429a-a9df-0def53893291,1,3,2
Statitistique pour les différents profils genre avec des diagrammes sympathiques,,1,4,1
"Ajouter des jeux existants de BGG, ajouter nos propre jeux, ajouter des participants à la page, pour donner leurs scores sur les jeux et avoir des statistiques",,1,5,1
"Possibilité de rajouter des jeux, genre le beer pong,Je suis alcoolique et j'approuve cette idée,trop bien soyons alcolooqieu ensemble",5fdadaaf-6c91-46d9-8bf0-a6d25083c9ce,3,6,1
"Enregistrer les jeux possédés,les collectionners TOUS comme un pokédex",d6339718-c397-4dba-897b-53eb49200ed7,2,7,1
"Voir des statistiques sur les parties jouées,avec par exemple le type d'alcool consommé durant la partie",bb59cc1d-10ac-4877-ac36-9b8ff7714517,2,8,0
"Faire des graphiques sur le temps moyen des parties,c'est bien çA",12d71304-7e6e-48d3-959b-03f4e14388a6,2,9,0
Une liste de jeux de sociétés avec la possibilité d'en ajouter des customs,,1,10,0
"Faire des graphiques sur le temps moyen des parties,Intégrer un chronomètre a l'application pour pouvoir populer tout ça,a,aa,aaaaaaaaaaaaaaaaaaaaaaaaaaah",3099014c-c5bb-4c7e-b245-112d3a942046,2,11,0
"Faire des graphiques sur le temps moyen des parties,Intégrer un chronomètre a l'application pour pouvoir populer tout ça,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaah",0885d2b5-2bfe-4dc6-8f8b-2b50d094fc2e,3,12,0
Possibilité d'ajouter des types de jeux custom,,3,13,0
"Possibilité de rajouter des jeux, genre le beer pong",,1,14,0
"Statitistique pour les différents profils genre avec des diagrammes sympathiques,Faire des millions de graphoiques",cdf29c30-e5a8-491a-9d11-5e26fa6bb9fb,1,15,0
Enregistrer les jeux possédés,,1,16,0
Voir des statistiques sur les parties jouées,,1,17,0
"Faire des graphiques sur le temps moyen des parties,on peut faire aussi des graphique sur le temps compelt des paties p",12d71304-7e6e-48d3-959b-03f4e14388a6,3,18,0
"Statitistique pour les différents profils genre avec des diagrammes sympathiques,et plein de couleurs qui vons partout",cdf29c30-e5a8-491a-9d11-5e26fa6bb9fb,1,19,0
"Possibilité de rajouter des jeux, genre le beer pong,Je suis alcoolique et j'approuve cette idée",b6092fe2-7af2-40db-bc89-6a223a534a46,1,20,0
"Ajouter des jeux existants de BGG, ajouter nos propre jeux, ajouter des participants à la page, pour donner leurs scores sur les jeux et avoir des statistiques,genre ajouter le beer pong",a741290a-8b78-4a9b-99c1-c3e0d72df18c,1,21,0
"Enregistrer les jeux possédés,Avec une bilibliothèques de tous les jeux ",d6339718-c397-4dba-897b-53eb49200ed7,1,22,0
"Voir des statistiques sur les parties jouées,qui à perdu et donc payé le pichet au fléchot",bb59cc1d-10ac-4877-ac36-9b8ff7714517,1,23,0
Faire des graphiques sur le temps moyen des parties,,1,24,0
"Faire des graphiques sur le temps moyen des parties,Plein de graphiques",12d71304-7e6e-48d3-959b-03f4e14388a6,2,25,0
